	Visual Properties						Labels				Layout						Graph Metrics									Do Not Edit		Other Columns																		
Vertex	Color	Shape	Size	Opacity	Image File	Visibility	Label	Label Fill Color	Label Position	Tooltip	Layout Order	X	Y	Locked?	Polar R	Polar Angle	Degree	In-Degree	Out-Degree	Betweenness Centrality	Closeness Centrality	Eigenvector Centrality	PageRank	Clustering Coefficient	Reciprocated Vertex Pair Ratio	ID	Dynamic Filter	Add Your Own Columns Here	Followed	Followers	Tweets	Favorites	Time Zone UTC Offset (Seconds)	Description	Location	Web	Time Zone	Joined Twitter Date (UTC)	Custom Menu Item Text	Custom Menu Item Action	Tweeted Search Term?	User of Interest?				
larrysure					http://pbs.twimg.com/profile_images/522483431381278720/zrIJU2St_normal.png					"larrysure

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			960	3244	40955	1587	-7200	such a lovely place such a lovely face			Brasilia	40253.6114	Open Twitter Page for This Person	https://twitter.com/larrysure	Yes					
p9lemica					http://pbs.twimg.com/profile_images/522066963015946240/VQxhtMvd_normal.jpeg					"p9lemica

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			2536	3762	113157	2358	-7200	Só me toque se você for a tal vibe que o p9 tanto pede pra me deixar tocar 26.09.14 https://t.co/y5CwrLbMbT	3/4 0/5 0/3 3/3  Doritos	https://t.co/R9aGhFCv5n	Mid-Atlantic	41563.99191	Open Twitter Page for This Person	https://twitter.com/p9lemica	Yes					
trisarahtopsg					http://pbs.twimg.com/profile_images/3714004976/cd2009c5065a914cad4d781600f25ed9_normal.jpeg					"trisarahtopsg

@thecreativegeek trip to the Apple
Store tomorrow I think. Hey :)"																			1189	425	1846	600		"Bit of a geek, lover of craft, photography, body modification, taxidermy, art & music. Can usually be found on my allotment or on my bike, Claudia."	Exeter	http://t.co/bQgYqU2CQI		40568.40789	Open Twitter Page for This Person	https://twitter.com/trisarahtopsg	Yes					
thecreativegeek					http://pbs.twimg.com/profile_images/525325170266095616/ZYjlJS0j_normal.jpeg					"thecreativegeek

"																			918	2178	41034	4527	0	22 | Ex Gymnast | Geek | Photographer I'm A Licentiate Of The Royal Photographic Society | App Dev & Designer | Occasional Tech & Mens Fashion Blogger/YouTuber	http://thecreativegeek.co.uk	http://t.co/69lrMyrlK1	London	39605.03722	Open Twitter Page for This Person	https://twitter.com/thecreativegeek	No					
feels5h					http://pbs.twimg.com/profile_images/527284047148777472/TyjPebyH_normal.jpeg					"feels5h

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			256	307	2884	72	-10800	"the boyband at my time, one direction, they just had fun, they’re just normal guys, but… terrible, terrible dancers"	lm 5h 1d lm ts cim jb 	https://t.co/OFl0zGJgb4	Santiago	41565.82455	Open Twitter Page for This Person	https://twitter.com/feels5h	Yes					
itskidrew					http://pbs.twimg.com/profile_images/527273833867145216/aZhBKKhJ_normal.jpeg					"itskidrew

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			523	789	7981	412	-10800	Eu juro solenemente que eu não escolhi essa vida de belieber			Santiago	40553.01116	Open Twitter Page for This Person	https://twitter.com/itskidrew	Yes					
agathasilva99					http://pbs.twimg.com/profile_images/525080824363114496/GZSI0AoI_normal.jpeg					"agathasilva99

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			421	309	11400	30868	-7200	Fuck your bitches	"Taubaté, SP"		Brasilia	41739.99975	Open Twitter Page for This Person	https://twitter.com/agathasilva99	Yes					
1prisonerdrauhl					http://pbs.twimg.com/profile_images/522923033418534913/wTBbNv_m_normal.jpeg					"1prisonerdrauhl

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			3194	3647	77823	1106	-36000	I will never leave my boys ??			Hawaii	40616.12397	Open Twitter Page for This Person	https://twitter.com/1prisonerdrauhl	Yes					
yves_lo					http://pbs.twimg.com/profile_images/439188346972405760/OzsMXOrB_normal.jpeg					"yves_lo

@ValentinMoeller hei valentin ich
und 2 freunde haben ein spiel entwickelt
könntest du es vielleicht mal testen?
:) https://t.co/Qh93zoQMik"																			41	21	180	47		"• 18 Switzerland • ios Developer 
• game development"				40910.63008	Open Twitter Page for This Person	https://twitter.com/yves_lo	Yes					
valentinmoeller					http://pbs.twimg.com/profile_images/425747943438950400/X_JHsU-k_normal.jpeg					"valentinmoeller

"																			114	8258	39826	144	3600	"Technik hier und überall! Reviews mit inhaltlich hoher Qualität und was mich sonst so interessiert! 

Gratis vorbeischauen! ;)"	Leipzig	http://t.co/2JOqgOyVxR	Berlin	40027.81047	Open Twitter Page for This Person	https://twitter.com/valentinmoeller	No					
demetria_014					http://pbs.twimg.com/profile_images/527231361363738624/lTWqisIP_normal.jpeg					"demetria_014

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			1994	1568	13482	469		Olha pra minha cara e vê se eu vou ficar pensando em uma bio legal /@larrybrisa/@ddlovato/@justinbieber	28.04.2014 	http://t.co/NTLgWt1nTI		41806.72715	Open Twitter Page for This Person	https://twitter.com/demetria_014	Yes					
vaas_happeniin					http://pbs.twimg.com/profile_images/527212941482135553/fSyHLABw_normal.jpeg					"vaas_happeniin

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			2260	2119	7251	1062	-7200	"O que você pensa sobre mim não vai mudar o que eu sou, mais pode mudar o meu conceito sobre você. ?? Whats +55 12 996156877"			Brasilia	40579.84766	Open Twitter Page for This Person	https://twitter.com/vaas_happeniin	Yes					
11w					http://pbs.twimg.com/profile_images/378800000849416550/85d50c8b7ea5a1071eae3073199027d2_normal.png					"11w

RT @ElevenDubcast: Oh right, the
iTunes thing. We figured it out,
update your bookmarks/RSS feeds
accordingly :) https://t.co/CB2vo7n1ar"																			489	71773	41492	6337	-14400	"Where Ohio State fans gather. News, in-depth analysis, recruiting and occasional lulz. #GoBucks"	"Columbus, O-H-I-O"	http://t.co/DCj7cb7AHn	Eastern Time (US & Canada)	39824.49059	Open Twitter Page for This Person	https://twitter.com/11w	Yes					
elevendubcast					http://pbs.twimg.com/profile_images/526926644976427008/DLe9uTIE_normal.png					"elevendubcast

Oh right, the iTunes thing. We
figured it out, update your bookmarks/RSS
feeds accordingly :) https://t.co/CB2vo7n1ar"																			11	120	6	0		Just a humble Ohio State podcast trying to make it big in this crazy world of ours. Hosted by @Johnny11W & @11W_Michael.	The wide world of sports	http://t.co/Z5Gzl3uAX6		41940.10866	Open Twitter Page for This Person	https://twitter.com/elevendubcast	Yes					
25031983					http://pbs.twimg.com/profile_images/2633738363/3c54afb1b34fd71a41c1ec5457d61e42_normal.jpeg					"25031983

Tikai tagad paman?ju - Apple TV
ir pieejams NBA (ar league pass
kontu). Gaid?ju k?das 3 sezonas
jau :) Var?s lieliski sp?les skat?ties
:)"																			324	1465	10044	24	7200		"R?ga, Latvia"	http://t.co/JNYPQdK6C6	Riga	39923.83024	Open Twitter Page for This Person	https://twitter.com/25031983	Yes					
hiitherezayn					http://pbs.twimg.com/profile_images/378800000634097755/52bc6d982389c6cd6312c8cf030cf485_normal.jpeg					"hiitherezayn

@angrybirdziall yeah we baked an
apple pie and watched movies :)"																			1012	1582	13587	735	3600	"Directioner from Sweden, TMH tour 8/5 2013 & WWA tour 13/6 2014 ? ~ 0/5"	wherever you are		Amsterdam	41287.7956	Open Twitter Page for This Person	https://twitter.com/hiitherezayn	Yes					
